 format: day,hour,forecast,value  location:102_83 Start : 20160101 ,month
1,200.0,4.0,11.7,1
1,200.0,7.0,7.0,1
1,200.0,10.0,4.9,1
1,200.0,13.0,2.6,1
1,200.0,16.0,0.9,1
1,200.0,19.0,0.3,1
1,200.0,22.0,2.8,1
1,200.0,25.0,10.8,1
1,200.0,28.0,14.7,1
1,200.0,31.0,9.8,1
1,200.0,34.0,6.7,1
1,200.0,37.0,4.6,1
1,200.0,40.0,3.8,1
1,200.0,43.0,3.6,1
1,200.0,46.0,7.0,1
1,200.0,49.0,13.5,1
1,200.0,52.0,15.2,1
1,200.0,55.0,10.9,1
1,200.0,58.0,8.1,1
1,200.0,61.0,5.5,1
1,500.0,4.0,7.0,1
1,500.0,7.0,4.9,1
1,500.0,10.0,2.6,1
1,500.0,13.0,0.9,1
1,500.0,16.0,0.3,1
1,500.0,19.0,2.8,1
1,500.0,22.0,10.8,1
1,500.0,25.0,14.7,1
1,500.0,28.0,9.8,1
1,500.0,31.0,6.7,1
1,500.0,34.0,4.6,1
1,500.0,37.0,3.8,1
1,500.0,40.0,3.6,1
1,500.0,43.0,7.0,1
1,500.0,46.0,13.5,1
1,500.0,49.0,15.2,1
1,500.0,52.0,10.9,1
1,500.0,55.0,8.1,1
1,500.0,58.0,5.5,1
1,800.0,4.0,4.2,1
1,800.0,7.0,2.2,1
1,800.0,10.0,2.0,1
1,800.0,13.0,1.2,1
1,800.0,16.0,3.5,1
1,800.0,19.0,9.9,1
1,800.0,22.0,13.3,1
1,800.0,25.0,10.3,1
1,800.0,28.0,7.5,1
1,800.0,31.0,5.2,1
1,800.0,34.0,3.3,1
1,800.0,37.0,3.1,1
1,800.0,40.0,6.1,1
1,800.0,43.0,12.4,1
1,800.0,46.0,16.0,1
1,800.0,49.0,11.8,1
1,800.0,52.0,8.8,1
1,800.0,55.0,6.3,1
1,1100.0,4.0,2.2,1
1,1100.0,7.0,2.0,1
1,1100.0,10.0,1.2,1
1,1100.0,13.0,3.5,1
1,1100.0,16.0,9.9,1
1,1100.0,19.0,13.3,1
1,1100.0,22.0,10.3,1
1,1100.0,25.0,7.5,1
1,1100.0,28.0,5.2,1
